title,first_author,last_author,middle_authors,year,journal,doi,url
Fibroblastic reticular cells direct the initiation of T cell responses via CD44,Sng Xavier Y. X.,Degli-Esposti Mariapia A.,Voigt Valentina; Schuster Iona S.; Fleming Peter; Deuss Felix A.; Abuwarwar Mohammed H.; van Dommelen Serani L. H.; Neate Georgia E. G.; Arnold Riley M.; Horsnell Harry L.; Daly Sheridan; Golzarroshan Bagher; Varelias Antiopi; Lyman Stewart D.; Scalzo Anthony A.; Hill Geoffrey R.; Mueller Scott N.; Wikstrom Matthew E.; Berry Richard; Rossjohn Jamie; Fletcher Anne L.; Andoniou Christopher E.,2026,Nature,10.1038/s41586-025-09988-8,https://doi.org/10.1038/s41586-025-09988-8
Spatial Profiling of Germinal Centers in Mouse Secondary Lymphoid Organs Using MACSima Imaging Cyclic Staining Technology,Molina Isabel San Martín,Marcial-Juárez Edith,Okkenhaug Hanneke; Walker Simon; Linterman Michelle,2026,European Journal of Immunology,10.1002/eji.70157,https://doi.org/10.1002/eji.70157
Lymph node colonization induces tissue remodeling via immunosuppressive fibroblast-myeloid cell niches supporting metastatic tolerance,Haist Maximilian,Nolan Garry P.,Baertsch Marc-A.; Reticker-Flynn Nathan E.; Lu Guolan; Kempchen Tim N.; Chu Pauline; Vazquez Gustavo; Chen Han; Sunwoo John B.; Zhang Weiruo; Laseinde Eyiwunmi; Adami Bonny; Zimmer Stefanie; Kaufman Justus; Le Quynh Thu; Gentles Andrew J.; Kong Christina S.; Plevritis Sylvia K.; Goltsev Yury; Hickey John W.,2026,Cancer Cell,10.1016/j.ccell.2026.01.003,https://doi.org/10.1016/j.ccell.2026.01.003
Topological Analysis of the Human Lymph Node Reticular Network Predicts Outcome in Breast Cancer,Llewellyn Amy,Naidoo Kalnisha,D’Costa Sharon; Lam Ringo; Gore Jasmine; Lachina Veronika; Shewring Daniel; Acton Sophie E,2025,,,
CXCL12+ fibroblastic reticular cells in lymph nodes facilitate immune tolerance by regulating T cell–mediated alloimmunity,Yamamura Yuta,Abdi Reza,Sabiu Gianmarco; Zhao Jing; Jung Sungwook; Seelam Andy J.; Li Xiaofei; Song Yang; Shirkey Marina W.; Li Lushen; Piao Wenji; Wu Long; Zhang Tianshu; Ahn Soyeon; Kim Pilhan; Kasinath Vivek; Azzi Jamil R.; Bromberg Jonathan S.,2025,The Journal of Clinical Investigation,10.1172/JCI182709,https://doi.org/10.1172/JCI182709
TLR ligand sensing by lymph node FRCs directs intranodal lymphocyte accumulation to promote immune responses,Baptista Antonio P.,Mebius Reina E.,Keuning Eelco,2025,iScience,10.1016/j.isci.2025.113734,https://doi.org/10.1016/j.isci.2025.113734
Fibroblastic FLT3L supports lymph node dendritic cells in the interfollicular niche,Wu Sunny Z.,Turley Shannon J.,Lane Ryan S.; Davidson Christopher; Byrne Ashley; Protti Giulia; Marin Ines; Santosa Endi K.; Guanieri Alberto; Kayser Brandon D.; Huang Hejin; Williams Katherine; Fernandez Matthew; Jiang Jian; Zhang Juan; Asuncion Raymond; Vollmers Apple Cortez; Decalf Jérémie; Roose-Girma Merone; Lee Wyne P.; McGinnis Lisa; Kapoor Varun N.; Warming Soren; Stephenson William; Rost Sandra; Moussion Christine; Biancalani Tommaso; Müller Sören,2025,Nature Immunology,10.1038/s41590-025-02332-2,https://doi.org/10.1038/s41590-025-02332-2
Guidelines for T cell nomenclature,Masopust David,Ahmed Rafi,Awasthi Amit; Bosselut Rémy; Brooks David G.; Buggert Marcus; Chamoto Kenji; Cui Weiguo; Dong Chen; Farber Donna L.; Gebhardt Thomas; Gerlach Carmen; Goldrath Ananda; Greenberg Philip D.; Hale J. Scott; Hayday Adrian; Homann Dirk; Iannacone Matteo; Jameson Stephen C.; Jenkins Marc K.; Joshi Nikhil S.; Kaech Susan M.; Kallies Axel; Kamphorst Alice O.; Kaplan Mark H.; Klenerman Paul; Künzli Marco; Lanzavecchia Antonio; Lauer Georg M.; Lugli Enrico; Luster Andrew D.; Mackay Laura K.; McElrath M. Juliana; Mueller Scott N.; Ndhlovu Zaza; Ndung’u Thumbi; Ohashi Pamela S.; Oxenius Annette; Pantaleo Giuseppe; Pepper Marion; Picker Louis J.; Quarnstrom Clare F.; Reyes-Terán Gustavo; Roederer Mario; Rosato Pamela C.; de Oca Gonzalo Salgado-Montes; Sallusto Federica; Schumacher Ton N.; Schwartz Daniella M.; Shin Eui-Cheol; Soerens Andrew G.; Thommen Daniela S.; Vezys Vaiva; Viola João P. B.; Walker Bruce D.; Watts Tania H.; Weaver Casey T.; Wherry E. John; Xue Hai-Hui; Youngblood Ben,2025,Nature Reviews Immunology,10.1038/s41577-025-01238-2,https://doi.org/10.1038/s41577-025-01238-2
Enhanced MHC Class-II Expression in Fibroblastic Reticular Cells Associates with Maturation,Roet Janna E. G.,Mebius Reina E.,da Graça Catarina Gago; de Kok Michael; Panocha Daphne; Konijn Tanja; Roest Henk P.; van der Laan Luc J. W.; van Baarsen Lisa G. M.; de Winde Charlotte M.,2025,European Journal of Immunology,10.1002/eji.70086,https://doi.org/10.1002/eji.70086
Intrinsic Properties of the Lymph Node Render It Immunologically Susceptible to Metastasis,Kahn Benjamin M.,Stanger Ben Z.,Ng Raymond W.S.; Kim Il-Kyu; Eskandarian Cody; Chen Chelsey O.; Huang Bing; Lucas Alfredo; Li Lequn; Maillard Ivan,2025,Cancer Discovery,10.1158/2159-8290.CD-24-1847,https://doi.org/10.1158/2159-8290.CD-24-1847
A TLR4-dependent fibroblast-monocyte axis in tumor-draining lymph nodes contributes to metastasis in triple-negative breast cancer,Mattavelli Greta,Riedel Angela,Helal Moutaz; Cetkovic Ana; Krämer Maximilian J.; Herbert Saskia-Laureen; Mielert Kilian; Schlaiß Tanja; Frank Anna; Riemer Emily; John Mara; Pilar Josefina del; Vasquez Martinez; Kindl Laura; Swietlik Jonathan J.; Gansen Benedikt O.; Krafft Marion; Stanojkovska Emilia; Fischer Hanna; Albert Ute-Susann; Bauer Jonas; Delgobo Murilo; Aintablian Arpa; Alattar Haisam; Lutz Manfred B.; Meissner Felix; Oskarsson Thordur; Rasche Leo; Ramos Gustavo; Rosenwald Andreas; Wöckel Achim,2025,Immunity,10.1016/j.immuni.2025.08.015,https://doi.org/10.1016/j.immuni.2025.08.015
Lymph-node-derived stem-like but not tumor-tissue-resident CD8+ T cells fuel anticancer immunity,Wijesinghe Sharanya K. M.,Kallies Axel,Rausch Lisa; Gabriel Sarah S.; Galletti Giovanni; De Luca Marco; Qin Lei; Wen Lifen; Tsui Carlson; Man Kevin; Heyden Leonie; Mason Teisha; Newland Lewis D.; Kueh Andrew; Liao Yang; Chisanga David; Swatler Julian; Voulaz Emanuele; Marulli Giuseppe; Errico Valentina; Losurdo Agnese; Rossi Gustavo R.; Souza-Fonseca-Guimaraes Fernando; Huntington Nicholas D.; Gebhardt Thomas; Utzschneider Daniel T.; Herold Marco J.; Shi Wei; Schroeder Jan; Lugli Enrico,2025,Nature Immunology,10.1038/s41590-025-02219-2,https://doi.org/10.1038/s41590-025-02219-2
Lymph node fibroblast phenotypes and immune crosstalk regulated by podoplanin activity,Makris Spyridon,Acton Sophie E.,Hari-Gupta Yukti; Cantoral-Rebordinos Jesús A.; Martinez Victor G.; Horsnell Harry L.; Benjamin Agnesska C.; Cinti Isabella; Jovancheva Martina; Shewring Daniel; Nguyen Nicola; de Winde Charlotte M.; Denton Alice E.,2025,Cell Reports,10.1016/j.celrep.2025.115908,https://doi.org/10.1016/j.celrep.2025.115908
Splenic fibroblastic reticular cells orchestrate dendritic cell maturation and facilitate CD8+ T cell priming and protective memory,Alexandre Yannick O.,Mueller Scott N.,Potemkin Nikita; Schienstock Dominik; Duchamp Baptiste; Poch Annika; Christo Susan N.; Li Shihan; Qin Lei; Beattie Lynette; Utzschneider Daniel T.; Ono Masahiro; Schröder Jan; Mackay Laura K.,2025,Science Advances,10.1126/sciadv.adt5939,https://doi.org/10.1126/sciadv.adt5939
